checks,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
delete_owner_duration,1744829467,3.7711,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829467,3.141,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829467,4.1673,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829467,4.7465,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829467,3.6685,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829467,5.0828,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829467,3.6598,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829467,3.1321,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829467,3.6619,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,4.2279,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,4.2279,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,4.218,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,82.968,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,83.4724,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,4.7339,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,3.6849,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,3.6849,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,3.6849,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,84.5662,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,85.3327,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,3.7236,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,3.1637,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829468,3.2397,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,7.896,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.5633,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.7457,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.6826,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.695,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,4.2533,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.6199,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.1938,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,84.1103,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.2579,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.1475,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,2.6358,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.6388,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,3.1606,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829469,2.6074,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.6336,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.239,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.239,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,2.692,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.2052,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.7005,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.1262,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.1262,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.7433,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,75.1383,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,2.5899,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.6717,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,2.6504,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.3261,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.1224,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,5.7481,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,2.6072,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.1302,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.1302,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829470,3.6885,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,75.1647,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,3.6673,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,3.6673,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,3.6591,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,3.6591,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,84.7471,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,3.6533,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,2.6208,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,3.4856,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,3.1245,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,80.9421,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,80.9421,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,97.2538,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,76.6268,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,75.0798,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,3.1285,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,3.1285,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829471,2.6226,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.2332,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.1367,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.1443,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,82.7856,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.7285,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.7292,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.1932,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,85.5105,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.1435,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,2.6185,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,5.8901,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,6.3945,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.1359,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,79.8684,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,76.7461,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.194,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.176,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,4.3613,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.1358,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,4.1918,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829472,3.1261,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.7311,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.1855,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,89.0767,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.1756,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.1641,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,93.9951,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.2176,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.2111,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.1633,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,86.5547,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,4.3016,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.7167,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.1942,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,84.5125,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.7484,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,84.6899,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,84.6899,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.1955,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829473,3.2081,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.2177,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1791,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.7015,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1353,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.6265,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1306,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1222,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1222,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,84.8431,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1619,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,86.5073,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,86.5073,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,85.9837,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1435,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.715,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1415,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1935,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.2078,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.1799,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,2.6403,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.2011,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.182,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829474,3.182,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,88.7409,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.1705,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,4.271,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,2.0677,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,94.3911,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,93.8688,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,93.8688,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.1566,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.1574,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.1113,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.9092,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.7822,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,91.8385,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.1405,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,83.7916,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,2.6319,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.1603,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.6511,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,87.7624,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,85.0107,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.2079,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.7,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829475,3.6847,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,4.2261,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,94.4536,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.1822,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.1267,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,4.1629,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,5.2069,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.1469,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.1888,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,2.5777,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.1993,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
delete_owner_duration,1744829476,3.6462,,,,,::Create Owner::Delete Owner,,,,default,,,,,,,
